abbr,name_de,name_fr,name_it,name_rm
ZH,Zürich,Zurich,Zurigo,Turitg
BE,Bern,Berne,Berna,Berna
LU,Luzern,Lucerne,Lucerna,Lucerna
UR,Uri,Uri,Uri,Uri
SZ,Schwyz,Schwyz,Svitto,Sviz
OW,Obwalden,Obwald,Obvaldo,Sursilvania
NW,Nidwalden,Nidwald,Nidvaldo,Sutsilvania
GL,Glarus,Glaris,Glarona,Glaruna
ZG,Zug,Zoug,Zugo,Zug
FR,Freiburg,Fribourg,Friburgo,Friburg
SO,Solothurn,Soleure,Soletta,Soloturn
BS,Basel-Stadt,Bâle-Ville,Basilea Città,Basilea-Citad
BL,Basel-Landschaft,Bâle-Campagne,Basilea Campagna,Basilea-Champagna
SH,Schaffhausen,Schaffhouse,Sciaffusa,Schaffusa
AR,Appenzell Ausserrhoden,Appenzell Rhodes-Intérieures,Appenzello Interno,Appenzell dadens
AI,Appenzell Innerrhoden,Appenzell Rhodes-Extérieures,Appenzello Esterno,Appenzell dador
SG,St. Gallen,Saint-Gall,San Gallo,Son Gagl
GR,Graubünden,Grisons,Grigioni,Grischun
AR,Aargau,Argovie,Argovia,Argovia
TG,Thurgau,Thurgovie,Turgovia,Turgovia
TI,Tessin,Tessin,Ticino,Tessin
VD,Waadt,Vaud,Vaud,Vad
VS,Wallis,Valais,Vallese,Vallais
NE,Neuenburg,Neuchâtel,Neuchâtel,Neuchâtel
GE,Genf,Genève,Ginevra,Genevra
JU,Jura,Jura,Giura,Giura
